Total images: 7049
Detected images: 6994
Not detected images: 55
Average accuracy: 98.99213611667143%
image_index,detected,accuracy
537,True,0.9666666666666667
538,True,1.0
539,True,1.0
540,True,1.0
541,True,1.0
542,True,1.0
543,True,0.9666666666666667
544,True,1.0
545,True,1.0
546,True,1.0
547,True,1.0
548,True,1.0
549,True,1.0
550,True,1.0
551,True,0.9666666666666667
552,True,1.0
553,True,0.9666666666666667
554,True,0.9666666666666667
555,True,1.0
556,True,1.0
557,True,1.0
558,True,1.0
559,True,1.0
560,True,1.0
561,True,1.0
562,True,0.9666666666666667
563,True,1.0
564,True,0.9666666666666667
565,True,1.0
566,True,1.0
567,True,1.0
568,True,1.0
569,True,0.9666666666666667
570,True,1.0
571,True,1.0
572,True,1.0
573,True,1.0
574,True,1.0
575,True,1.0
576,True,1.0
577,True,1.0
578,True,1.0
579,True,1.0
580,True,1.0
581,True,1.0
582,True,0.9666666666666667
583,True,1.0
584,True,1.0
585,True,1.0
586,True,1.0
587,True,1.0
588,True,0.9666666666666667
589,True,1.0
590,True,1.0
591,True,1.0
592,True,1.0
593,True,1.0
594,True,1.0
595,True,1.0
596,True,1.0
597,True,1.0
598,True,0.9666666666666667
599,True,1.0
600,True,1.0
601,True,1.0
602,True,1.0
603,True,1.0
604,True,1.0
605,True,0.9666666666666667
606,True,1.0
607,True,1.0
608,True,1.0
609,True,1.0
610,True,1.0
611,True,1.0
612,True,0.9666666666666667
613,True,1.0
614,True,1.0
615,True,1.0
616,True,1.0
617,True,1.0
618,True,1.0
619,True,0.9666666666666667
620,True,0.9666666666666667
621,True,1.0
622,True,1.0
623,True,1.0
624,True,0.9666666666666667
625,True,1.0
626,True,1.0
627,True,1.0
628,True,1.0
629,True,1.0
630,True,1.0
631,True,0.9666666666666667
632,True,1.0
633,True,1.0
634,True,1.0
635,True,1.0
636,True,1.0
637,True,0.9666666666666667
638,True,1.0
639,True,1.0
640,True,1.0
641,True,0.9666666666666667
642,True,0.9666666666666667
643,True,1.0
644,True,0.9666666666666667
645,True,1.0
646,True,1.0
647,True,1.0
648,True,1.0
649,True,1.0
650,True,1.0
651,True,1.0
652,True,1.0
653,True,1.0
654,True,1.0
655,True,1.0
656,True,0.9666666666666667
657,True,1.0
658,True,1.0
659,True,1.0
660,True,1.0
661,True,1.0
662,True,1.0
663,True,1.0
664,True,1.0
665,True,0.9666666666666667
666,True,1.0
667,True,1.0
668,True,1.0
669,True,1.0
670,True,0.9666666666666667
671,True,1.0
672,True,1.0
673,True,0.9666666666666667
674,True,0.9666666666666667
675,True,1.0
676,True,1.0
677,True,1.0
678,True,0.9666666666666667
679,True,1.0
680,True,1.0
681,True,1.0
682,True,1.0
683,True,1.0
684,True,1.0
685,True,0.9666666666666667
686,True,1.0
687,True,1.0
688,True,1.0
689,True,1.0
690,True,1.0
691,True,1.0
692,True,1.0
693,True,1.0
694,True,0.9666666666666667
695,True,1.0
696,True,1.0
697,True,1.0
698,True,1.0
699,True,0.9666666666666667
700,True,0.9666666666666667
701,True,1.0
702,True,1.0
703,True,1.0
704,True,1.0
705,True,1.0
706,True,1.0
707,True,1.0
708,True,1.0
709,True,1.0
710,True,1.0
711,True,1.0
712,True,1.0
713,True,0.9666666666666667
714,True,1.0
715,True,1.0
716,True,1.0
717,True,0.9666666666666667
718,True,1.0
719,True,1.0
720,True,1.0
721,True,1.0
722,True,1.0
723,True,1.0
724,True,1.0
725,True,1.0
726,True,0.9666666666666667
727,True,0.9666666666666667
728,True,1.0
729,True,1.0
730,True,1.0
731,True,1.0
732,True,1.0
733,True,1.0
734,True,1.0
735,True,1.0
736,True,1.0
737,True,1.0
738,True,0.9666666666666667
739,True,1.0
740,True,1.0
741,True,1.0
742,True,1.0
743,True,0.9666666666666667
744,True,1.0
745,True,1.0
746,True,0.9666666666666667
747,True,1.0
748,True,1.0
749,True,1.0
750,True,1.0
751,True,1.0
752,True,1.0
753,True,1.0
754,True,0.9666666666666667
755,True,1.0
756,True,1.0
757,True,1.0
758,True,1.0
759,True,1.0
760,True,1.0
761,True,1.0
762,True,1.0
763,True,1.0
764,True,1.0
765,True,1.0
766,True,1.0
767,True,1.0
768,True,0.9666666666666667
769,True,1.0
770,True,1.0
771,True,1.0
772,True,1.0
773,True,0.9666666666666667
774,True,1.0
775,True,1.0
776,True,1.0
777,True,1.0
778,True,0.9666666666666667
779,True,1.0
780,True,1.0
781,True,1.0
782,True,1.0
783,True,1.0
784,True,1.0
785,True,1.0
786,True,0.9666666666666667
787,True,1.0
788,True,1.0
789,True,1.0
790,True,1.0
791,True,1.0
792,True,1.0
793,True,0.9666666666666667
794,True,1.0
795,True,1.0
796,True,1.0
797,True,1.0
798,True,1.0
799,True,1.0
800,True,1.0
801,True,1.0
802,True,1.0
803,True,1.0
804,True,1.0
805,True,0.9666666666666667
806,True,1.0
807,True,1.0
808,True,1.0
809,True,1.0
810,True,0.9666666666666667
811,True,1.0
812,True,1.0
813,True,0.9666666666666667
814,True,1.0
815,True,1.0
816,True,1.0
817,True,0.9666666666666667
818,True,1.0
819,True,1.0
820,True,1.0
821,True,1.0
822,True,1.0
823,True,1.0
824,True,1.0
825,True,1.0
826,True,1.0
827,True,0.9666666666666667
828,True,1.0
829,True,0.9666666666666667
830,True,0.9666666666666667
831,True,1.0
832,True,1.0
833,True,1.0
834,True,0.9666666666666667
835,True,0.9666666666666667
836,True,1.0
837,True,1.0
838,True,1.0
839,True,0.9666666666666667
840,True,1.0
841,True,1.0
842,True,1.0
843,True,1.0
844,True,0.9666666666666667
845,True,1.0
846,True,1.0
847,True,1.0
848,True,1.0
849,True,1.0
850,True,1.0
851,True,1.0
852,True,1.0
853,True,1.0
854,True,1.0
855,True,1.0
856,True,0.9666666666666667
857,True,1.0
858,True,1.0
859,True,1.0
860,True,1.0
861,True,1.0
862,True,1.0
863,True,0.9666666666666667
864,True,1.0
865,True,0.9666666666666667
866,True,1.0
867,True,0.9666666666666667
868,True,0.9666666666666667
869,True,1.0
870,True,1.0
871,True,1.0
872,True,1.0
873,True,1.0
874,True,1.0
875,True,1.0
876,True,1.0
877,True,1.0
878,True,1.0
879,True,1.0
880,True,1.0
881,True,1.0
882,True,1.0
883,True,1.0
884,True,1.0
885,True,1.0
886,True,0.9666666666666667
887,True,1.0
888,True,1.0
889,True,1.0
890,True,1.0
891,True,1.0
892,True,1.0
893,True,1.0
894,True,0.9666666666666667
895,True,1.0
896,True,1.0
897,True,1.0
898,True,1.0
899,True,1.0
900,True,1.0
901,True,0.9666666666666667
902,True,1.0
903,True,1.0
904,True,1.0
905,True,1.0
906,True,1.0
907,True,1.0
908,True,1.0
909,True,1.0
910,True,1.0
911,True,1.0
912,True,1.0
913,True,1.0
914,True,1.0
915,True,1.0
916,True,1.0
917,True,1.0
918,True,1.0
919,True,1.0
